,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001,Unlabeled:5002,Unlabeled:5002,Unlabeled:5002,Unlabeled:5003,Unlabeled:5003,Unlabeled:5003,Unlabeled:5004,Unlabeled:5004,Unlabeled:5004,Unlabeled:5005,Unlabeled:5005,Unlabeled:5005,Unlabeled:5006,Unlabeled:5006,Unlabeled:5006,Unlabeled:5007,Unlabeled:5007,Unlabeled:5007,Unlabeled:5008,Unlabeled:5008,Unlabeled:5008,Unlabeled:5009,Unlabeled:5009,Unlabeled:5009,Unlabeled:5010,Unlabeled:5010,Unlabeled:5010,Unlabeled:5021,Unlabeled:5021,Unlabeled:5021
,,8392B20CF49E35701388,8392B20CF49E35701388,8392B20CF49E35701388,8392B20CF49E35701389,8392B20CF49E35701389,8392B20CF49E35701389,8392B20CF49E3570138A,8392B20CF49E3570138A,8392B20CF49E3570138A,8392B20CF49E3570138B,8392B20CF49E3570138B,8392B20CF49E3570138B,8392B20CF49E3570138C,8392B20CF49E3570138C,8392B20CF49E3570138C,8392B20CF49E3570138D,8392B20CF49E3570138D,8392B20CF49E3570138D,8392B20CF49E3570138E,8392B20CF49E3570138E,8392B20CF49E3570138E,8392B20CF49E3570138F,8392B20CF49E3570138F,8392B20CF49E3570138F,8392B20CF49E35701390,8392B20CF49E35701390,8392B20CF49E35701390,8392B20CF49E35701391,8392B20CF49E35701391,8392B20CF49E35701391,8392B20CF49E35701392,8392B20CF49E35701392,8392B20CF49E35701392,8392B20CF49E3570139D,8392B20CF49E3570139D,8392B20CF49E3570139D
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
10,0.083333,0.19916,0.446479,0.132746,0.165167,0.615766,0.148568,0.00999,-0.000327,0.010018,0.009945,-0.000268,0.210403,0.113438,1.457894,0.148858,0.115064,1.388714,0.154095,0.122409,1.261626,0.153592,0.124826,1.128409,0.15682,0.128816,0.990813,0.157782,0.136846,0.768047,0.153741,0.160421,-0.000322,0.010291,,,
11,0.091667,0.199169,0.44645,0.132769,0.165165,0.615755,0.148583,0.010005,-0.000353,0.010051,0.009943,-0.000286,0.210422,0.113461,1.457858,0.148869,0.115067,1.388693,0.154099,0.122411,1.261597,0.153593,0.124819,1.128385,0.156827,0.128822,0.990794,0.157808,0.136829,0.768028,0.153771,0.160434,-0.000381,0.010316,,,
12,0.1,0.199165,0.446429,0.132767,0.165156,0.615741,0.148584,0.009998,-0.000371,0.010049,0.009949,-0.000306,0.210424,0.113438,1.457847,0.148887,0.115058,1.388685,0.154113,0.12239,1.261579,0.153598,0.124824,1.128383,0.156836,0.128819,0.990793,0.15781,0.136825,0.768015,0.153772,0.160417,-0.000387,0.010322,,,
13,0.108333,0.199162,0.446432,0.132783,0.165167,0.615728,0.148586,0.009995,-0.000389,0.010053,0.009945,-0.000339,0.210428,0.113441,1.457836,0.148893,0.115061,1.388683,0.15412,0.122398,1.261574,0.153605,0.12483,1.128382,0.156829,0.128818,0.990798,0.157799,0.136825,0.768014,0.153769,0.160427,-0.00038,0.010327,,,
14,0.116667,0.199155,0.446442,0.132753,0.165158,0.615726,0.148562,0.009987,-0.000367,0.010024,0.009948,-0.000316,0.210415,0.113444,1.457848,0.148886,0.115072,1.388691,0.154109,0.122411,1.261591,0.153587,0.124827,1.128398,0.156826,0.128818,0.9908,0.157794,0.136831,0.768004,0.153755,0.160423,-0.000383,0.010315,,,
15,0.125,0.199163,0.44645,0.132737,0.16516,0.615754,0.148555,0.01,-0.000357,0.01003,0.009945,-0.0003,0.210417,0.113435,1.457868,0.148866,0.115082,1.388708,0.154084,0.122407,1.261596,0.153582,0.12482,1.128394,0.156822,0.128818,0.990805,0.157771,0.13681,0.768037,0.153742,0.160427,-0.000348,0.010301,,,
16,0.133333,0.199164,0.446478,0.13272,0.165159,0.615771,0.148533,0.009995,-0.00033,0.010017,0.009944,-0.000278,0.210389,0.113442,1.457886,0.148852,0.115058,1.388719,0.154094,0.122414,1.26162,0.153557,0.124823,1.12841,0.156795,0.128808,0.990821,0.157754,0.13684,0.768051,0.153725,0.160434,-0.00031,0.010276,,,
17,0.141667,0.199165,0.446512,0.132706,0.165159,0.615782,0.148508,0.009995,-0.000318,0.010008,0.009927,-0.000259,0.210387,0.113441,1.4579,0.148842,0.115072,1.388725,0.154081,0.122429,1.261658,0.153573,0.124813,1.128423,0.156784,0.12881,0.990823,0.157742,0.136827,0.768072,0.153711,0.160435,-0.000319,0.010269,,,
18,0.15,0.199167,0.446492,0.132677,0.165166,0.615788,0.148519,0.009991,-0.000308,0.009992,0.00994,-0.000243,0.210383,0.113445,1.457926,0.14883,0.115058,1.38874,0.154073,0.122416,1.261638,0.153545,0.124819,1.12842,0.156784,0.128815,0.99084,0.157732,0.136826,0.768079,0.153706,0.160434,-0.000292,0.010263,,,
19,0.158333,0.199165,0.446494,0.132695,0.165164,0.615793,0.148518,0.01,-0.000304,0.010008,0.009947,-0.000261,0.210384,0.11344,1.457919,0.148842,0.115066,1.388721,0.154069,0.122418,1.261635,0.153557,0.124815,1.128419,0.156778,0.128816,0.990843,0.157736,0.136841,0.768081,0.153709,0.160441,-0.000299,0.010251,,,
20,0.166667,0.199162,0.446492,0.132687,0.165166,0.615779,0.148513,0.00999,-0.000307,0.010003,0.009949,-0.000259,0.210404,0.113445,1.457899,0.148831,0.115066,1.388723,0.154078,0.122419,1.26163,0.153555,0.124826,1.128419,0.156786,0.128821,0.990832,0.157754,0.136844,0.768064,0.153715,0.160419,-0.000307,0.010262,,,
21,0.175,0.199165,0.446474,0.132703,0.16516,0.615768,0.14851,0.009989,-0.000327,0.010015,0.009937,-0.000275,0.210402,0.113445,1.457907,0.148861,0.11507,1.388712,0.154085,0.122423,1.261632,0.15357,0.124811,1.12842,0.156797,0.128808,0.990817,0.157758,0.136832,0.768062,0.153703,0.160428,-0.00031,0.010291,,,
22,0.183333,0.199176,0.446479,0.132692,0.165159,0.615747,0.148524,0.010016,-0.000345,0.010048,0.009931,-0.000269,0.210409,0.113436,1.45789,0.148869,0.115063,1.388724,0.154095,0.122413,1.261612,0.153559,0.124825,1.128416,0.156804,0.128812,0.990831,0.15776,0.136836,0.768057,0.153711,0.160433,-0.00031,0.010297,,,
23,0.191667,0.199141,0.446465,0.132697,0.165163,0.615738,0.148537,0.009994,-0.000354,0.010042,0.009945,-0.000276,0.210415,0.113454,1.457872,0.148872,0.115063,1.388709,0.154096,0.122412,1.261609,0.153574,0.124821,1.128409,0.156802,0.12881,0.990824,0.157763,0.136841,0.768043,0.153716,0.160436,-0.000339,0.010316,,,
24,0.2,0.199154,0.446467,0.132702,0.165161,0.615756,0.14854,0.009997,-0.000354,0.01004,0.009945,-0.000285,0.210419,0.113435,1.457889,0.148868,0.115055,1.388718,0.154104,0.122409,1.261616,0.153578,0.124821,1.128406,0.156807,0.12881,0.990824,0.157766,0.136829,0.768019,0.153713,0.160426,-0.000341,0.010295,,,
25,0.208333,0.199166,0.446464,0.132691,0.165152,0.615765,0.148538,0.010012,-0.000366,0.010055,0.009947,-0.000286,0.210405,0.113437,1.457903,0.148885,0.115072,1.38871,0.154097,0.122408,1.261615,0.153575,0.124817,1.128409,0.156797,0.128812,0.990818,0.15776,0.136843,0.768034,0.153724,0.16042,-0.000346,0.010301,,,
26,0.216667,0.199169,0.446457,0.132697,0.165158,0.615766,0.148528,0.009988,-0.000342,0.010017,0.009944,-0.000286,0.210401,0.113439,1.457907,0.14885,0.115072,1.388709,0.154082,0.12241,1.261618,0.153574,0.124821,1.128417,0.156789,0.128815,0.990835,0.157761,0.136852,0.768049,0.153725,0.160424,-0.000354,0.010277,,,
27,0.225,0.199177,0.446472,0.132696,0.165169,0.615764,0.148521,0.009999,-0.000355,0.01002,0.009945,-0.000286,0.210407,0.113438,1.457888,0.148843,0.115069,1.388718,0.154086,0.122416,1.261637,0.153579,0.124813,1.128419,0.1568,0.128825,0.990825,0.157764,0.136833,0.768054,0.15371,0.160432,-0.000347,0.010278,,,
28,0.233333,0.199357,0.446583,0.132736,0.165175,0.615761,0.148516,0.009989,-0.000336,0.010012,0.009942,-0.0003,0.210397,0.113436,1.457895,0.148839,0.115067,1.388715,0.154086,0.122421,1.261626,0.15356,0.124826,1.128411,0.156795,0.128822,0.990845,0.157756,0.136838,0.768053,0.153711,0.160426,-0.00034,0.010273,,,
29,0.241667,0.199364,0.44659,0.132743,0.165184,0.615743,0.148522,0.009997,-0.000356,0.010028,0.009943,-0.00031,0.210412,0.113461,1.457884,0.148858,0.115068,1.388698,0.154084,0.122413,1.261603,0.153564,0.124823,1.128406,0.156806,0.128829,0.990823,0.157773,0.136844,0.768045,0.153713,0.160444,-0.000353,0.010298,,,
30,0.25,0.199186,0.446444,0.132711,0.165181,0.61574,0.148526,0.009992,-0.000358,0.010028,0.009942,-0.000272,0.210418,0.11345,1.457885,0.148867,0.115081,1.388697,0.154094,0.122413,1.261614,0.153579,0.124825,1.128402,0.156815,0.128816,0.99082,0.157772,0.136864,0.768004,0.153733,0.160424,-0.000358,0.010301,,,
31,0.258333,0.199176,0.446445,0.132728,0.165175,0.615746,0.148556,0.009999,-0.000366,0.010048,0.009945,-0.000305,0.210437,0.113444,1.457865,0.148882,0.115064,1.388697,0.154107,0.122414,1.261598,0.153585,0.124823,1.12839,0.156826,0.128831,0.990806,0.157786,0.136863,0.76803,0.153745,0.160414,-0.000366,0.010316,,,
32,0.266667,0.19918,0.446432,0.132733,0.165176,0.615741,0.148555,0.00999,-0.000364,0.010048,0.009944,-0.000307,0.210418,0.113433,1.457867,0.148867,0.115066,1.388706,0.154111,0.122403,1.261605,0.1536,0.12482,1.128391,0.156824,0.128822,0.990808,0.157783,0.136848,0.768026,0.153739,0.160418,-0.000362,0.010329,,,
33,0.275,0.199162,0.446464,0.132717,0.165167,0.615756,0.148535,0.01001,-0.000349,0.010076,0.009947,-0.000296,0.210424,0.11344,1.45787,0.148871,0.115064,1.388704,0.154103,0.1224,1.261607,0.153579,0.124825,1.128395,0.156824,0.128824,0.990815,0.157784,0.13684,0.768021,0.153736,0.160409,-0.000361,0.010315,,,
34,0.283333,0.199176,0.446481,0.132703,0.165171,0.615763,0.148534,0.009978,-0.000334,0.01002,0.009933,-0.000282,0.210413,0.113432,1.457905,0.14886,0.115062,1.388713,0.154092,0.122428,1.261631,0.153569,0.124831,1.128405,0.156804,0.128832,0.99082,0.157768,0.136848,0.768055,0.153724,0.160431,-0.000336,0.010296,,,
35,0.291667,0.199168,0.446498,0.132689,0.165175,0.615778,0.148522,0.009967,-0.000319,0.01,0.009926,-0.000246,0.210399,0.113438,1.457928,0.148848,0.115059,1.388722,0.154082,0.122414,1.261632,0.153552,0.124823,1.128425,0.156792,0.128825,0.99083,0.157749,0.13685,0.768064,0.153708,0.160417,-0.000314,0.01028,,,
36,0.3,0.199362,0.446659,0.132727,0.165177,0.615811,0.148506,0.009965,-0.000282,0.009991,0.009935,-0.000237,0.21039,0.113436,1.457947,0.148816,0.115072,1.388746,0.15406,0.122437,1.261671,0.153549,0.124823,1.128428,0.156773,0.128825,0.990833,0.157735,0.136843,0.768077,0.153688,0.160429,-0.000287,0.010256,,,
37,0.308333,0.199174,0.446524,0.132662,0.16517,0.615804,0.148501,0.009981,-0.000289,0.009992,0.009935,-0.000229,0.210381,0.113438,1.457946,0.148812,0.115063,1.388748,0.154064,0.122422,1.261652,0.153545,0.124821,1.128433,0.15677,0.128826,0.99085,0.157731,0.136854,0.768099,0.15368,0.160429,-0.000292,0.010262,,,
38,0.316667,0.199171,0.446518,0.132657,0.165166,0.615794,0.148496,0.009987,-0.000305,0.009999,0.009933,-0.000254,0.210382,0.113441,1.457934,0.148815,0.115068,1.388739,0.154067,0.122423,1.261643,0.153548,0.124826,1.128424,0.156778,0.128834,0.99084,0.157737,0.136835,0.768085,0.153695,0.160436,-0.0003,0.01027,,,
39,0.325,0.199185,0.446472,0.132676,0.165162,0.615766,0.148519,0.010004,-0.000342,0.010022,0.009938,-0.00026,0.210392,0.113443,1.457909,0.148844,0.115074,1.388716,0.154087,0.122431,1.26162,0.153564,0.124825,1.128403,0.156798,0.128832,0.990834,0.157755,0.136837,0.768069,0.153719,0.160421,-0.000329,0.010275,,,
40,0.333333,0.199163,0.446446,0.132713,0.165182,0.615738,0.148534,0.009994,-0.000345,0.010029,0.009937,-0.000296,0.210412,0.113426,1.457874,0.148865,0.115065,1.388697,0.154085,0.122417,1.261587,0.153576,0.124827,1.128384,0.156812,0.128823,0.990799,0.157781,0.136837,0.768033,0.153743,0.16042,-0.000359,0.010305,,,
