Time (s),Math 1 (A),Math 2 (A)
-7.5,0.001821019,0.000600889
-7.499,0.001754892,0.000579436
-7.498,0.001752908,0.000579436
-7.497,0.001801181,0.00059476
-7.496,0.001778697,0.000587098
-7.495,0.001751586,0.000577904
-7.494,0.001799197,0.000593227
-7.493,0.001755553,0.000579436
-7.492,0.001775391,0.000585566
-7.491,0.001801181,0.00059476
-7.49,0.001754892,0.000579436
-7.489,0.001789278,0.000591695
-7.488,0.001781343,0.00058863
-7.487,0.001766795,0.000584033
-7.486,0.001770101,0.000584033
-7.485,0.001802503,0.00059476
-7.484,0.001754892,0.000579436
-7.483,0.001773407,0.000585566
-7.482,0.001796552,0.000593227
-7.481,0.001741667,0.000574839
-7.48,0.001789278,0.000591695
-7.479,0.00179589,0.000593227
-7.478,0.001756214,0.000580969
-7.477,0.001782004,0.00058863
-7.476,0.001791262,0.000591695
-7.475,0.001728441,0.000571775
-7.474,0.001808454,0.000597824
-7.473,0.001776052,0.000587098
-7.472,0.001731086,0.000571775
-7.471,0.001820357,0.000600889
-7.47,0.001746957,0.000576372
-7.469,0.001756876,0.000580969
-7.468,0.001808454,0.000597824
-7.467,0.001753569,0.000579436
-7.466,0.001762166,0.000582501
-7.465,0.001823002,0.000602422
-7.464,0.001737038,0.000573307
-7.463,0.001788616,0.000590163
-7.462,0.001789939,0.000591695
-7.461,0.00172778,0.000570242
-7.46,0.001822341,0.000602422
-7.459,0.001777375,0.000587098
-7.458,0.00174365,0.000576372
-7.457,0.001789939,0.000591695
-7.456,0.001780681,0.00058863
-7.455,0.00174894,0.000577904
-7.454,0.001805148,0.000596292
-7.453,0.001780681,0.000587098
-7.452,0.001756214,0.000579436
-7.451,0.001796552,0.000593227
-7.45,0.001754892,0.000579436
-7.449,0.001768778,0.000584033
-7.448,0.001789278,0.000590163
-7.447,0.001776714,0.000587098
-7.446,0.00174365,0.000576372
-7.445,0.001805809,0.000596292
-7.444,0.001759521,0.000580969
-7.443,0.001759521,0.000580969
-7.442,0.001815067,0.000599357
-7.441,0.001744312,0.000576372
-7.44,0.001776052,0.000587098
-7.439,0.001801842,0.00059476
-7.438,0.001751586,0.000579436
-7.437,0.001770762,0.000585566
-7.436,0.001811761,0.000597824
-7.435,0.001725135,0.000570242
-7.434,0.001803164,0.00059476
-7.433,0.001793245,0.000591695
-7.432,0.001728441,0.000571775
-7.431,0.001825647,0.000603954
-7.43,0.001772085,0.000585566
-7.429,0.001753569,0.000579436
-7.428,0.001799858,0.00059476
-7.427,0.001770762,0.000584033
-7.426,0.001744973,0.000576372
-7.425,0.001815728,0.000599357
-7.424,0.001753569,0.000579436
-7.423,0.001765472,0.000582501
-7.422,0.001803826,0.000596292
-7.421,0.001739683,0.000574839
-7.42,0.001782665,0.00058863
-7.419,0.001783988,0.00058863
-7.418,0.001771424,0.000585566
-7.417,0.001780681,0.00058863
-7.416,0.001804487,0.000596292
-7.415,0.001739683,0.000574839
-7.414,0.001782004,0.00058863
-7.413,0.001805148,0.000596292
-7.412,0.001758198,0.000580969
-7.411,0.001795229,0.000593227
-7.41,0.001776714,0.000587098
-7.409,0.001755553,0.000579436
-7.408,0.001781343,0.00058863
-7.407,0.001806471,0.000596292
-7.406,0.001744973,0.000576372
-7.405,0.001815067,0.000599357
-7.404,0.001777375,0.000587098
-7.403,0.001737038,0.000574839
-7.402,0.001820357,0.000600889
-7.401,0.001766133,0.000584033
-7.4,0.001766795,0.000584033
-7.399,0.001813083,0.000599357
-7.398,0.001760843,0.000582501
-7.397,0.001757537,0.000580969
-7.396,0.001819696,0.000600889
-7.395,0.001746295,0.000576372
-7.394,0.001799197,0.00059476
-7.393,0.001807132,0.000596292
