Time (s),Math 1 (A),Math 2 (A)
-7.5,0.000293493,9.52E-05
-7.499,0.001156446,0.000383296
-7.498,0.001154462,0.000381764
-7.497,0.001151817,0.000381764
-7.496,0.001154462,0.000381764
-7.495,0.001149172,0.000380231
-7.494,0.001144543,0.000378699
-7.493,0.001145204,0.000378699
-7.492,0.001145204,0.000378699
-7.491,0.001142559,0.000378699
-7.49,0.001138592,0.000375634
-7.489,0.001133963,0.000375634
-7.488,0.001144543,0.000378699
-7.487,0.001149172,0.000380231
-7.486,0.001152478,0.000381764
-7.485,0.001147849,0.000380231
-7.484,0.001143882,0.000378699
-7.483,0.001143882,0.000378699
-7.482,0.001143221,0.000378699
-7.481,0.001141898,0.000377167
-7.48,0.001145204,0.000378699
-7.479,0.001143882,0.000378699
-7.478,0.001139253,0.000377167
-7.477,0.001134624,0.000375634
-7.476,0.001154462,0.000381764
-7.475,0.001149172,0.000380231
-7.474,0.00113264,0.000375634
-7.473,0.001133963,0.000375634
-7.472,0.001142559,0.000378699
-7.471,0.001143882,0.000378699
-7.47,0.001139914,0.000377167
-7.469,0.001140576,0.000377167
-7.468,0.001142559,0.000378699
-7.467,0.001143221,0.000378699
-7.466,0.001139914,0.000377167
-7.465,0.001144543,0.000378699
-7.464,0.001155785,0.000383296
-7.463,0.00115314,0.000381764
-7.462,0.001149833,0.000380231
-7.461,0.001147188,0.000380231
-7.46,0.001137269,0.000377167
-7.459,0.001134624,0.000375634
-7.458,0.001142559,0.000378699
-7.457,0.001147188,0.000380231
-7.456,0.001146527,0.000380231
-7.455,0.001138592,0.000377167
-7.454,0.001135285,0.000375634
-7.453,0.001147188,0.000380231
-7.452,0.001149172,0.000380231
-7.451,0.001147849,0.000380231
-7.45,0.001152478,0.000381764
-7.449,0.001150495,0.000380231
-7.448,0.001148511,0.000380231
-7.447,0.001146527,0.000378699
-7.446,0.001150495,0.000380231
-7.445,0.001147188,0.000380231
-7.444,0.001141237,0.000377167
-7.443,0.001131318,0.000374102
-7.442,0.001141237,0.000377167
-7.441,0.001149833,0.000380231
-7.44,0.001146527,0.000378699
-7.439,0.001146527,0.000380231
-7.438,0.001146527,0.000380231
-7.437,0.001145866,0.000380231
-7.436,0.001149833,0.000380231
-7.435,0.001147188,0.000380231
-7.434,0.001143882,0.000378699
-7.433,0.001144543,0.000378699
-7.432,0.001135947,0.000377167
-7.431,0.001134624,0.000375634
-7.43,0.001144543,0.000378699
-7.429,0.001149172,0.000380231
-7.428,0.001147849,0.000380231
-7.427,0.001145204,0.000378699
-7.426,0.001149172,0.000380231
-7.425,0.001146527,0.000380231
-7.424,0.001130657,0.000374102
-7.423,0.001130657,0.000374102
