PathFileType	4	(X/Y/Z)	squat.trc																																					
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames																																	
120	120	1544	8	mm	120	0	1544																																	
frame#	Time	Ankle_4	Ankle_4	Ankle_4	Ankle_3	Ankle_3	Ankle_3	Ankle_2	Ankle_2	Ankle_2	Ankle_1	Ankle_1	Ankle_1	Tibia_2	Tibia_2	Tibia_2	Pelvis_1	Pelvis_1	Pelvis_1	Pelvis_2	Pelvis_2	Pelvis_2	Femur_1 	Femur_1 	Femur_1 	Femur_2	Femur_2	Femur_2	Tibia_1	Tibia_1	Tibia_1	Ankle_5	Ankle_5	Ankle_5	Unlabeled:5029	Unlabeled:5029	Unlabeled:5029	Unlabeled:5030	Unlabeled:5030	Unlabeled:5030
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	Z8	Y8	Z8	X9	Y9	Z9	X10	Y10	Z10	X11	Y11	Z11	X12	Y12	Z12	X12	Y12	Z12
																																								
																																								
																																								
																																								
																																								
14	0.116667	-183.95076	0.730188	255.789246	134.356567	1409.664673	167.694412	16.159876	-0.451383	257.665222	18.19363	-2.387312	-9.033739	135.628906	1279.873779	161.916077	161.188431	877.289429	139.389282	118.434898	234.650467	124.994057	164.1633	698.818298	119.086449	117.658501	109.096687	128.188187	116.80925	20.787203	132.421631	130.234863	1511.372803	171.660812						
15	0.125	-183.651917	1.375479	255.693085	134.156143	1409.555298	167.706573	16.118317	-0.4788	257.629669	18.899092	-1.654054	-9.870798	135.490891	1279.784424	161.869232	161.180573	877.238892	139.364105	118.381393	234.702805	124.986084	164.162018	698.857971	119.104279	117.666786	109.061203	128.179581	116.81987	20.84775	132.432709	130.062759	1511.26123	171.632339						
16	0.133333	-183.655899	1.359549	255.676987	134.028214	1409.526123	167.702988	16.126711	-0.479317	257.604279	18.90127	-1.610919	-9.858444	135.37471	1279.750244	161.853287	161.314453	877.615723	139.23114	118.391373	234.694138	125.00441	164.165878	698.878052	119.130608	117.655624	109.11277	128.196121	116.844414	20.777086	132.418869	129.898911	1511.248901	171.638245						
17	0.141667	-183.954987	0.715508	255.787399	133.971329	1409.561279	167.727356	16.14728	-0.480678	257.632172	18.141321	-2.542408	-9.039472	135.300049	1279.761108	161.890228	161.14267	877.216675	139.393555	118.426514	234.702515	124.96212	164.156677	698.881592	119.155655	117.615952	109.121498	128.190445	116.819878	20.791468	132.424683	129.783112	1511.290649	171.64006						
18	0.15	-183.942444	0.786827	255.810349	133.923874	1409.666138	167.752808	16.148458	-0.371973	257.665833	18.680515	-2.326646	-9.500914	135.213974	1279.874023	161.934311	161.131226	877.272949	139.431549	118.092674	233.53273	125.201286	163.891739	698.217651	119.283943	117.643402	109.135429	128.179138	116.829254	20.831827	132.434174	129.694687	1511.38501	171.624542						
19	0.158333	-183.864716	0.959713	255.853714	133.88765	1409.834229	167.775269	16.221489	-0.19582	257.723297	18.783342	-2.023331	-9.444151	135.1996	1280.026978	161.973999	161.125397	877.379211	139.465073	118.195335	233.858582	125.242981	163.946976	698.410767	119.425125	117.641541	109.115829	128.205017	116.409119	22.74469	130.051117	129.628006	1511.604248	171.616501						
20	0.166667	-183.738983	1.178597	255.880508	133.902374	1410.015869	167.766968	16.305176	0.070178	257.791229	18.926334	-1.717784	-9.448155	135.201096	1280.19397	162.002274	161.128708	877.460754	139.490021	118.298714	234.24649	125.281898	164.029495	698.680603	119.508415	117.655037	109.068443	128.195572	116.789154	20.549335	132.795929	129.554764	1511.732666	171.632813						
21	0.175	-183.644882	1.390572	255.868973	133.851334	1410.123901	167.731094	16.43631	0.232584	257.7966	19.001884	-1.497497	-9.427979	135.165512	1280.301147	162.00293	161.140244	877.5896	139.512482	118.371696	234.492386	125.259888	164.062881	698.860962	119.572311	117.643539	109.080803	128.18512	116.857018	20.81238	132.782303	129.475266	1511.859009	171.610168						
22	0.183333	-183.572891	1.515524	255.892334	133.80423	1410.19873	167.73114	16.521603	0.382037	257.791046	19.047443	-1.367418	-9.463766	135.103378	1280.343018	162.008514	161.147156	877.663208	139.518509	118.374619	234.616287	125.293182	164.062805	698.930664	119.60936	117.627907	109.091263	128.172134	116.915054	20.953472	132.811295	129.402786	1511.933838	171.619202						
23	0.191667	-183.589569	1.48327	255.879578	133.743256	1410.186157	167.731491	16.493896	0.34747	257.775482	19.083721	-1.394904	-9.44646	135.037521	1280.324463	161.993729	161.076019	877.617859	139.530426	118.360718	234.587189	125.245438	164.0168	698.952148	119.644058	117.644791	109.096031	128.168442	116.873512	20.953854	132.827209	129.343872	1511.929443	171.586624						
