,hip1,,hip2,,hip3,,femur1,,femur2,,femur3,,tibia1,,tibia2,,tibia3,
Time,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.266667,0.656363,1.960599,0.663355,1.8374,0.652666,1.707301,0.656372,1.53282,0.656435,1.29263,0.679293,1.109258,0.738682,0.901855,0.774218,0.52471,0.773944,0.134056
0.275,0.656524,1.960682,0.663544,1.837475,0.652843,1.707353,0.656553,1.532946,0.656599,1.292637,0.679383,1.109348,0.738765,0.901971,0.774277,0.524772,0.773942,0.134114
0.283333,0.656725,1.960739,0.663754,1.837488,0.653101,1.707395,0.656763,1.532991,0.656743,1.292701,0.679493,1.109383,0.738772,0.901939,0.774312,0.524791,0.773936,0.134099
0.291667,0.656968,1.960729,0.66403,1.837467,0.653342,1.707401,0.656985,1.533013,0.656956,1.292639,0.67959,1.109354,0.738816,0.901887,0.774335,0.524672,0.773927,0.134062
0.3,0.657186,1.960647,0.664303,1.837463,0.653629,1.70739,0.657258,1.532994,0.65715,1.292625,0.679742,1.109274,0.738869,0.901823,0.77437,0.524555,0.773928,0.133954
0.308333,0.65749,1.960508,0.66459,1.837382,0.653893,1.707349,0.65751,1.532955,0.657365,1.292522,0.679856,1.109268,0.738936,0.901713,0.774394,0.524529,0.773908,0.133775
0.316667,0.6578,1.96042,0.664831,1.837329,0.654196,1.707307,0.657756,1.532881,0.657571,1.292516,0.680022,1.109224,0.739045,0.901684,0.774486,0.524488,0.773933,0.133756
0.325,0.65803,1.960391,0.665098,1.83734,0.654414,1.707287,0.658007,1.532852,0.657756,1.292497,0.680198,1.109165,0.739155,0.90168,0.774512,0.524491,0.773915,0.133729
0.333333,0.658166,1.960468,0.665334,1.837342,0.654647,1.707306,0.658221,1.532866,0.657926,1.292517,0.680369,1.109141,0.739271,0.901692,0.774648,0.524435,0.773919,0.133744
0.341667,0.658352,1.960538,0.665517,1.837361,0.654818,1.707318,0.658438,1.532872,0.658075,1.292515,0.680526,1.109143,0.739389,0.901736,0.774729,0.524538,0.773948,0.133834
0.35,0.6585,1.960622,0.665709,1.837395,0.655009,1.707353,0.658611,1.532935,0.658221,1.292554,0.680655,1.109243,0.739513,0.901773,0.774809,0.524629,0.773989,0.133904
0.358333,0.658557,1.960742,0.665881,1.837441,0.655164,1.707391,0.658759,1.532965,0.658323,1.292596,0.680761,1.109212,0.739567,0.901772,0.774857,0.524604,0.774052,0.133978
0.366667,0.658697,1.960794,0.666044,1.837471,0.655353,1.707394,0.658896,1.532971,0.658465,1.292635,0.680843,1.109253,0.739631,0.901787,0.774871,0.524573,0.774035,0.134045
