,hip1,,hip2,,hip3,,femur1,,femur2,,femur3,,tibia1,,tibia2,,tibia3,
Time,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.266667,0.130463,2.906092,0.131138,2.835646,0.137242,2.710625,0.146049,2.335437,0.151415,2.023661,0.155805,1.757985,0.176397,1.337431,0.256147,1.012241,0.359024,0.635706
0.275,0.1305,2.906204,0.13608,2.831656,0.137266,2.710607,0.146038,2.33544,0.151413,2.023617,0.155818,1.757963,0.176418,1.337444,0.256253,1.012179,0.359166,0.635717
0.283333,0.130496,2.906156,0.13275,2.834332,0.137252,2.71062,0.146053,2.335445,0.151426,2.023626,0.155859,1.757959,0.176478,1.337459,0.25636,1.012236,0.359346,0.635796
0.291667,0.130506,2.906149,0.131161,2.835628,0.137264,2.710674,0.146059,2.335474,0.151413,2.02369,0.15584,1.758018,0.17651,1.337631,0.256425,1.012339,0.359497,0.63592
0.3,0.130562,2.906152,0.136174,2.831452,0.137015,2.711069,0.146083,2.335566,0.151466,2.023789,0.155871,1.758099,0.176539,1.337831,0.25652,1.012528,0.359657,0.636065
0.308333,0.126063,2.905077,0.131201,2.83566,0.136986,2.711124,0.146125,2.335644,0.151506,2.02388,0.155876,1.758244,0.176592,1.338045,0.256587,1.012848,0.359854,0.636227
0.316667,0.126152,2.905209,0.130428,2.837867,0.136994,2.7112,0.146133,2.33575,0.151493,2.023955,0.155918,1.758325,0.176643,1.338238,0.25671,1.013071,0.360007,0.636431
0.325,0.126189,2.905248,0.131337,2.835689,0.136998,2.711211,0.146141,2.335766,0.151502,2.023998,0.15595,1.758366,0.17669,1.338373,0.256851,1.013242,0.360171,0.636649
0.333333,0.126177,2.905173,0.1313,2.83571,0.137052,2.711201,0.146135,2.335773,0.151528,2.023992,0.155976,1.758361,0.176758,1.338386,0.256979,1.013317,0.3603,0.636782
0.341667,0.130732,2.906246,0.131296,2.83572,0.137089,2.711135,0.146221,2.335696,0.151533,2.02389,0.155992,1.758208,0.176804,1.33839,0.257061,1.013373,0.360446,0.636835
0.35,0.130766,2.906229,0.131352,2.835708,0.137157,2.711034,0.146303,2.335545,0.151576,2.023749,0.156049,1.758083,0.176887,1.338319,0.257207,1.013336,0.360632,0.636862
0.358333,0.130816,2.906168,0.136403,2.831465,0.137208,2.710966,0.14635,2.335463,0.151655,2.023644,0.156127,1.758003,0.176964,1.338268,0.257401,1.013356,0.360842,0.636931
0.366667,0.130878,2.906199,0.136433,2.831462,0.13722,2.710926,0.146349,2.335418,0.151769,2.023626,0.15618,1.757956,0.17709,1.338387,0.257551,1.013513,0.361067,0.637125
0.375,0.130889,2.906194,0.131378,2.835598,0.137467,2.710589,0.146319,2.33547,0.151835,2.023666,0.156223,1.757993,0.177253,1.338548,0.257707,1.013598,0.361271,0.637237
0.383333,0.130956,2.906279,0.136438,2.831424,0.13745,2.710634,0.14633,2.335528,0.151849,2.023735,0.156295,1.758077,0.177375,1.33884,0.257906,1.013877,0.361478,0.637455
0.391667,0.130896,2.906227,0.131322,2.835698,0.137177,2.711049,0.146348,2.335593,0.151936,2.023788,0.156378,1.758114,0.177526,1.339091,0.258072,1.014108,0.361741,0.637706
0.4,0.130949,2.906273,0.131285,2.835721,0.137189,2.711077,0.146375,2.335663,0.151984,2.023833,0.156517,1.758112,0.177679,1.339289,0.258265,1.014292,0.361983,0.637912
0.408333,0.130968,2.906299,0.131362,2.835695,0.137455,2.710749,0.146395,2.335618,0.152009,2.023797,0.156607,1.758101,0.177852,1.339412,0.258473,1.014452,0.362269,0.638075
0.416667,0.130978,2.906311,0.13134,2.835667,0.137448,2.71073,0.14642,2.33558,0.152054,2.02375,0.156665,1.758072,0.178033,1.33952,0.258762,1.014529,0.362557,0.638211
0.425,0.130788,2.906212,0.131349,2.83568,0.137416,2.710675,0.146391,2.335574,0.152117,2.023713,0.156733,1.758037,0.178202,1.339609,0.259027,1.014644,0.362919,0.638351
0.433333,0.130758,2.906237,0.131244,2.835699,0.137153,2.711008,0.146405,2.33558,0.152187,2.023762,0.156778,1.758018,0.178349,1.339698,0.259303,1.014755,0.363303,0.638557
0.441667,0.130719,2.906226,0.136374,2.831488,0.137368,2.710697,0.146353,2.335614,0.152213,2.023784,0.156854,1.758106,0.178498,1.339979,0.259603,1.014973,0.363709,0.6388
0.45,0.130693,2.906248,0.131235,2.835762,0.137044,2.711106,0.146314,2.335718,0.152232,2.023847,0.156937,1.758155,0.178654,1.340307,0.259892,1.015232,0.364158,0.639075
0.458333,0.130733,2.906345,0.136157,2.831564,0.136994,2.711212,0.146277,2.3358,0.152175,2.02394,0.156947,1.758255,0.178796,1.340553,0.260231,1.01552,0.364684,0.63946
0.466667,0.12601,2.90519,0.131181,2.835826,0.136941,2.71127,0.146241,2.335874,0.152153,2.024005,0.157057,1.758305,0.178946,1.340894,0.260551,1.015849,0.365248,0.639763
0.475,0.126023,2.905243,0.130365,2.837893,0.137208,2.710927,0.146256,2.33587,0.152131,2.024005,0.157089,1.758338,0.179112,1.3411,0.260894,1.016161,0.365823,0.640138
