femur 1		femur 4		tibia 1		tibia4	
X	Y	X	Y	X	Y	X	Y
1.515693	1.332934	1.529413	0.932859	1.624081	0.722571	1.800146	0.490633
1.515706	1.332933	1.529612	0.932878	1.624548	0.723021	1.80129	0.491552
1.515718	1.33291	1.529851	0.932863	1.625059	0.723383	1.802584	0.492597
1.515708	1.332899	1.530097	0.932861	1.62557	0.723759	1.803867	0.493554
1.515732	1.33288	1.530339	0.932833	1.626149	0.724197	1.805124	0.494502
1.515759	1.332875	1.530597	0.932831	1.626677	0.72462	1.806383	0.495531
1.515778	1.33286	1.530812	0.932849	1.627263	0.725095	1.807729	0.496696
1.515791	1.332884	1.531032	0.93287	1.627737	0.725552	1.809147	0.497728
1.515817	1.332909	1.531214	0.932916	1.62819	0.725927	1.810434	0.498806
1.515861	1.332938	1.531361	0.932967	1.628747	0.726455	1.811746	0.500104
1.515873	1.332968	1.53152	0.933028	1.629566	0.727401	1.813022	0.501318
1.515915	1.33301	1.53163	0.933114	1.630033	0.727909	1.814354	0.502549
1.515936	1.333013	1.531725	0.933139	1.630487	0.728488	1.815603	0.503818
1.515973	1.333046	1.531792	0.933173	1.630919	0.729133	1.816993	0.505078
1.515991	1.333009	1.531845	0.93317	1.631351	0.729766	1.818188	0.506379
1.516038	1.333009	1.531871	0.933161	1.631683	0.730316	1.819417	0.50765
1.516047	1.332986	1.531873	0.933161	1.631962	0.730846	1.820611	0.509061
1.516069	1.332959	1.531884	0.93314	1.63237	0.731429	1.821834	0.510373
1.516087	1.332946	1.531894	0.933112	1.63275	0.732078	1.822994	0.511618
1.516085	1.332956	1.531885	0.933117	1.633305	0.733039	1.824211	0.512995
1.51609	1.332932	1.531886	0.933066	1.633608	0.733621	1.825332	0.514366
1.516109	1.332943	1.531882	0.933058	1.63386	0.73417	1.826614	0.515649
1.516114	1.332946	1.531852	0.933053	1.634145	0.734742	1.827726	0.517075
1.516119	1.332944	1.53186	0.933061	1.6345	0.735364	1.828749	0.518536
1.516102	1.332967	1.53186	0.933066	1.63494	0.736068	1.829905	0.519903
1.516094	1.332989	1.531858	0.933088	1.635195	0.736557	1.830977	0.521278
1.516072	1.333019	1.531861	0.933102	1.635524	0.737154	1.832224	0.522572
1.516061	1.333037	1.531857	0.933125	1.635815	0.737736	1.833331	0.524004
1.516052	1.333037	1.53186	0.933107	1.63607	0.73828	1.834411	0.525229
1.516033	1.333029	1.531839	0.933107	1.636289	0.738828	1.835499	0.526531
1.516009	1.333005	1.531839	0.933079	1.636512	0.73929	1.836546	0.527821
1.515981	1.332976	1.531847	0.93307	1.636869	0.739829	1.837316	0.529175
1.515961	1.332943	1.531863	0.933031	1.637198	0.740356	1.838212	0.530291
1.51596	1.332926	1.531874	0.933032	1.637528	0.74092	1.839464	0.531621
1.515939	1.332909	1.531896	0.933012	1.637904	0.741517	1.840322	0.532796
1.515962	1.332947	1.531935	0.933057	1.638252	0.742143	1.840997	0.534194
1.515961	1.332963	1.531959	0.933103	1.638545	0.742694	1.841878	0.535388
1.515955	1.332992	1.531996	0.933166	1.638898	0.743329	1.842998	0.536598
1.515953	1.333019	1.532071	0.933211	1.639281	0.743969	1.843916	0.537795
1.515997	1.333053	1.532145	0.93326	1.639598	0.74449	1.844545	0.53915
1.516023	1.333061	1.532231	0.93329	1.63994	0.745018	1.845473	0.540267
1.516048	1.333044	1.532356	0.933322	1.64029	0.745593	1.846427	0.54156
1.516059	1.333025	1.532499	0.933306	1.640704	0.746119	1.847383	0.542612
1.516071	1.333011	1.532701	0.933318	1.641123	0.746693	1.848751	0.543212
1.51609	1.332984	1.532884	0.933294	1.64148	0.747091	1.849716	0.544336
1.516113	1.332972	1.533065	0.933297	1.641857	0.747461	1.850762	0.545569
1.516162	1.332949	1.533226	0.933295	1.642231	0.747901	1.851875	0.546585
1.516173	1.33296	1.533413	0.93333	1.642616	0.748438	1.853006	0.547931
1.516203	1.332958	1.533561	0.933356	1.643012	0.74899	1.853991	0.549035
1.516217	1.333004	1.533708	0.933422	1.643475	0.749656	1.855093	0.55047
1.51622	1.333032	1.533843	0.933449	1.643914	0.750305	1.856139	0.551736
1.51625	1.333062	1.533931	0.933467	1.644346	0.750976	1.857319	0.553237
1.51626	1.333048	1.533979	0.933483	1.644737	0.751633	1.858318	0.554517
1.516245	1.333044	1.534006	0.9335	1.645025	0.752176	1.859387	0.55599
1.516222	1.333034	1.534031	0.933468	1.645333	0.752798	1.860433	0.557411
1.516221	1.333014	1.534017	0.933456	1.645526	0.753407	1.861517	0.558843
1.516173	1.332999	1.533968	0.933427	1.645705	0.753929	1.862533	0.560325
1.516175	1.33298	1.533905	0.933414	1.645895	0.754519	1.863546	0.561802
1.516169	1.33296	1.533828	0.933384	1.646044	0.755105	1.864537	0.563265
1.516159	1.332983	1.533744	0.933397	1.646149	0.755638	1.865616	0.564784
1.516142	1.332976	1.533671	0.933377	1.646311	0.756296	1.866489	0.566358
1.516137	1.332994	1.533625	0.933401	1.646473	0.756957	1.867417	0.567892
1.516129	1.333005	1.533607	0.933393	1.646643	0.757539	1.868372	0.569378
1.516116	1.333018	1.533574	0.933405	1.646873	0.758163	1.86936	0.570851
1.516136	1.333009	1.533578	0.933408	1.647002	0.75862	1.870316	0.572221
1.516152	1.333022	1.533554	0.933415	1.647181	0.759015	1.871302	0.573615
1.516147	1.333007	1.533631	0.933417	1.647569	0.759695	1.872125	0.575021
1.516161	1.33302	1.53372	0.933416	1.647846	0.760245	1.873029	0.576426
1.516137	1.333016	1.533801	0.933421	1.648179	0.760797	1.873975	0.577679
1.516172	1.333001	1.533946	0.933408	1.648471	0.761331	1.874945	0.578957
1.516197	1.332979	1.534064	0.933398	1.648718	0.761736	1.875857	0.580122
1.516217	1.332983	1.534184	0.933411	1.649029	0.762215	1.876793	0.58137
1.516229	1.332961	1.534325	0.93343	1.649663	0.763116	1.877632	0.582565
1.516262	1.332973	1.534456	0.933465	1.650004	0.763656	1.878523	0.583695
1.51625	1.332983	1.534572	0.933483	1.650317	0.764169	1.879423	0.585038
1.516261	1.333006	1.534688	0.933518	1.650593	0.764733	1.880302	0.586235
1.516283	1.333007	1.534755	0.933537	1.650869	0.765289	1.881176	0.587519
1.516319	1.333024	1.534813	0.933573	1.651448	0.766138	1.881943	0.588803
1.516317	1.333014	1.534853	0.933561	1.651676	0.76677	1.882687	0.590171
